time_step,pitch_deg,yaw_deg
218,-2.6972611246383016,-7.1506572038378975
219,-2.35272072492116,-6.257430945023679
220,-2.052884946936579,-5.4735733836194065
221,-1.7810607053666476,-4.758276508541279
222,-1.5462605465369987,-4.1372151752294695
223,-1.3510012725034257,-3.6187626983748937
224,-1.1875617240872987,-3.1835837597508525
225,-1.0504270192488447,-2.8176839048435087
226,-0.9235951986188706,-2.478730897128654
227,-0.8166889737044397,-2.1926667044188677
228,-0.7181858939490647,-1.9288240132998846
229,-0.6243113659603776,-1.677170858971986
230,-0.5460178033855099,-1.4671480746019638
231,-0.4746559414381538,-1.2756234061330727
232,-0.4198105959250758,-1.1283707576555266
233,-0.3692319685375086,-0.9925343493186377
234,-0.3266757196531869,-0.8782166990046143
235,-0.2873620617691617,-0.7725897721702932
236,-0.25427756379341765,-0.6836855518565537
237,-0.22099253102244518,-0.5942308887197463
238,-0.18988747076810025,-0.5106248306455233
239,-0.16801375226263046,-0.4518257205978041
240,-0.14695416993400554,-0.3952108339675859
241,-0.12929329211210994,-0.3477295451234914
242,-0.11435247929336266,-0.30755891097319354
243,-0.1005710162359441,-0.2705034130929357
244,-0.08743271027852029,-0.23517542460859486
245,-0.07647405589977899,-0.20570692787987593
246,-0.06649190745515877,-0.1788631090581253
247,-0.05880644292288712,-0.15819465451258147
248,-0.0517149052231157,-0.13912270681074126
249,-0.04548343004820311,-0.12236316820019706
250,-0.039315196167921486,-0.10577305993847827
251,-0.034189372205144404,-0.09198606206550689
252,-0.02972400689083114,-0.07997504989886796
253,-0.026137372013329004,-0.07032731122781324
254,-0.02298867562958143,-0.06185728941468587
255,-0.019986627166903387,-0.05378145857466234
256,-0.01748311848888404,-0.04704650184393067
257,-0.015110846036689971,-0.04066436428530336
258,-0.01321134527212307,-0.0355539376821073
259,-0.01161925143360164,-0.03127040958766616
260,-0.010281100072829579,-0.027669992062247708
261,-0.009045893550606702,-0.024346445716541643
262,-0.00795717995907789,-0.021416967353276608
263,-0.006916478184400227,-0.01861625325601448
264,-0.006047895415794748,-0.016278970325799284
265,-0.005258197524589953,-0.01415388261828346
266,-0.0046531207695435515,-0.012525555752475616
267,-0.004093153725342301,-0.011018574744097268
268,-0.0036206157765481042,-0.009746841182364718
269,-0.003184234296078228,-0.008572226922044252
270,-0.0028006464716880714,-0.007539830458629399
271,-0.0024351294217281887,-0.006556036335452745
272,-0.0020097413336226818,-0.005411048408852814
273,-0.0017569568934989576,-0.0047306171493733335
274,-0.0015362133774686352,-0.004136410595595199
275,-0.001335692955788999,-0.0035966216614934194
276,-0.0011683425620916197,-0.003146108024457944
277,-0.0010275469554593111,-0.0027670680584119707
