time_step,roll_deg,pitch_deg,yaw_deg
1,-3.021526947390341e-12,1.7491407863157462e-17,0.0
2,-3.1296658065601004e-12,2.097178744207059e-17,0.0
3,-3.205999118915225e-12,1.4330405882543313e-17,0.0
4,-3.256887993818641e-12,1.4917237236566796e-17,0.0
5,-3.3332213061737656e-12,1.2368867476526071e-17,0.0
6,-3.365026852988401e-12,5.893673865930093e-18,0.0
7,-3.396832399803036e-12,-5.0028824929931316e-18,0.0
8,-3.4540823840693794e-12,-2.143239058381497e-17,0.0
9,-3.47316571215816e-12,-3.228274768115963e-17,0.0
10,-3.5113323683357224e-12,-4.0662873102757615e-17,0.0
11,-3.5622212432391387e-12,-4.539936026579564e-17,0.0
12,-3.5622212432391387e-12,-6.060234252501827e-17,0.0
13,-3.58130457132792e-12,-6.662087893283343e-17,0.0
14,-3.600387899416701e-12,-6.841952163924168e-17,0.0
15,-3.600387899416701e-12,-7.074886451662123e-17,0.0
16,-3.6385545555942636e-12,-7.03458765627978e-17,0.0
17,-3.6385545555942636e-12,-7.374543648729948e-17,0.0
18,-3.651276774320118e-12,-8.534409517473777e-17,0.0
19,-3.651276774320118e-12,-8.359212087701121e-17,0.0
20,-3.651276774320118e-12,-6.862607795705545e-17,0.0
21,-3.670360102408898e-12,-7.95417240267566e-17,0.0
22,-3.689443430497679e-12,-9.172344036155656e-17,0.0
23,-3.689443430497679e-12,-9.533119197022909e-17,0.0
24,-3.689443430497679e-12,-1.0319053879406524e-16,0.0
25,-3.689443430497679e-12,-1.088409796705367e-16,0.0
26,-3.689443430497679e-12,-1.0668672710980775e-16,0.0
27,-3.689443430497679e-12,-1.0654529695826555e-16,0.0
28,-3.689443430497679e-12,-1.1080471508365935e-16,0.0
29,-3.689443430497679e-12,-1.2017974730854332e-16,0.0
30,-3.689443430497679e-12,-1.240172619401065e-16,0.0
31,-3.689443430497679e-12,-1.234696234631693e-16,0.0
32,-3.689443430497679e-12,-1.2600997612184879e-16,0.0
33,-3.689443430497679e-12,-1.2655526517435763e-16,0.0
34,-3.689443430497679e-12,-1.243990175945592e-16,0.0
35,-3.689443430497679e-12,-1.1312404041896964e-16,0.0
36,-3.689443430497679e-12,-1.072659766834518e-16,0.0
37,-3.689443430497679e-12,-1.0970602721260451e-16,0.0
38,-3.689443430497679e-12,-1.1387277406093515e-16,0.0
39,-3.695630603276464e-12,0.21400026869792196,1.0177774980683254e-13
40,-3.6956927234850865e-12,0.18718900235861208,7.63333123551244e-14
41,2.0794864076743656e-12,2.60031476360696,1.3004651981568026e-10
42,5.551022085558276e-11,5.542678041192061,6.408817683148987e-10
43,2.0162013208999453e-10,8.37833323344698,1.5132824730028896e-09
